city;country
nan;Unknown
Rouen;France
Haarlem;Netherlands
Edinburgh;Scotland
Hamburg;Germany
Fictitious places without the name of a printer/publisher;Unknown
Dordrecht;Netherlands
Kendal;England
Brielle;Netherlands
Baile atha Cl’ath;Ireland
Groningen;Netherlands
Rotterdam;Netherlands
Cambridge;England
Zierikzee;Netherlands
Middelburg;Netherlands
Stockholm;Sweden
Padova;Italy
Gouda;Netherlands
Franeker;Netherlands
Schiedam;Netherlands
Den Haag;Netherlands
Leeuwarden;Netherlands
Vlissingen;Netherlands
Place unknown;Unknown
Stralsund;Germany
Londen;England
Breda;Netherlands
Paris;France
Enkhuizen;Netherlands
Various places;Unknown
Brussel;Belgium
Fictieve plaats zonder naam van drukker/uitgever;Unknown
Hoorn;Netherlands
Eton;England
Antwerpen;Belgium
Gorinchem;Netherlands
Venezia;Italy
Delft;Netherlands
Luik;Belgium
's-Hertogenbosch;Netherlands
Leiden;Netherlands
Maassluis;Netherlands
Oxford;England
's-Gravenhage;Netherlands
Arnhem;Netherlands
Kšln;Germany
Leipzig;Germany
Utrecht;Netherlands
Zwolle;Netherlands
Zutphen;Netherlands
Amsterdam;Netherlands
Bologna;Italy
London;England
Londres;England
Regensburg;Germany
Dublin;Ireland
